7.158784999999988941e+03 4.368727439024394698e+03 3.102354999999997744e+03 2.704996158536579060e+03 2.384066280487790664e+03 2.126362743902439433e+03 1.902846463414631671e+03 1.676006829268304273e+03 1.550086097560959843e+03 1.441460177700350414e+03 1.308961628919862505e+03 1.214208357142857949e+03 1.152418719512185817e+03 1.060095365853634576e+03 9.850489634146243816e+02 9.463516132404183736e+02
5.866334939024379310e+03 3.321804695121944860e+03 2.534688841463422250e+03 2.140821250871079428e+03 1.801353231707324085e+03 1.574591097560974504e+03 1.363714531358888053e+03 1.267662012195137549e+03 1.130068040069685139e+03 1.015675588850176837e+03 9.256798876306640977e+02 8.745326010452899936e+02 8.466999991289258105e+02 7.833636027874615593e+02 7.303029564460003940e+02 6.936582822299649251e+02
4.552237743902442162e+03 2.678440182926827219e+03 2.013694372822306832e+03 1.645150426829266507e+03 1.419356585365860838e+03 1.221610670731712844e+03 1.079305121951220372e+03 9.576615853658381639e+02 8.712855452961639457e+02 8.233247839721240098e+02 7.669964634146031131e+02 7.007019303135889459e+02 6.627799999999974716e+02 6.131746341463330054e+02 5.858631707317210839e+02 5.604325000000020509e+02
3.633073353658546694e+03 2.321837142857138133e+03 1.771359329268290367e+03 1.399707090592335589e+03 1.183120853658540000e+03 9.962978310104554112e+02 9.064155165505378591e+02 8.199396951219572429e+02 7.404126986062724427e+02 6.748435365853669055e+02 6.372658536585364573e+02 5.909571515679449476e+02 5.526410365853701023e+02 5.275251829268329402e+02 5.022712195121998207e+02 4.741199390243982634e+02
3.228379999999994652e+03 2.071848210801397727e+03 1.523543963414646669e+03 1.227743231707318955e+03 1.007481829268291563e+03 8.701412412892074144e+02 7.916860278745682535e+02 7.075327439024595151e+02 6.512517229965067145e+02 5.960027020905916970e+02 5.435853658536640296e+02 5.102513109756094423e+02 4.874914634146395542e+02 4.585466463414600184e+02 4.375965243902487600e+02 4.199400914634076116e+02
2.973375609756103586e+03 1.897275548780490681e+03 1.351849146341464575e+03 1.089384176829262969e+03 9.139792682926781708e+02 7.964128658536747025e+02 6.858546951219507264e+02 6.219039024390185659e+02 5.764834146341519272e+02 5.333811942508707489e+02 4.942808536585431511e+02 4.603975609756085987e+02 4.309451219512254738e+02 4.109606097560980515e+02 3.857388414634212950e+02 3.605337804878091106e+02
2.767897652439021840e+03 1.687896933797911515e+03 1.245595518292673205e+03 9.652245121951220881e+02 8.343304878048825231e+02 7.142818902439023532e+02 6.256682430313667282e+02 5.663256097561064735e+02 5.143640853658569085e+02 4.795476829268322945e+02 4.496521341463408135e+02 4.228264634146481740e+02 3.928353048780429617e+02 3.620494207317256041e+02 3.407068292683038635e+02 3.159946341463423778e+02
2.585768918118458714e+03 1.564971219512203106e+03 1.126239268292678844e+03 8.816464973867642811e+02 7.484237804878055158e+02 6.549785060975424358e+02 5.782482108014182813e+02 5.151054268292665483e+02 4.717973170731373784e+02 4.427975000000212731e+02 4.051251524390316945e+02 3.788687804877972667e+02 3.492876829268413985e+02 3.235343292683015761e+02 2.903854878048625210e+02 2.630418597561134675e+02
2.421119592334493518e+03 1.457640121951212222e+03 1.022278952961674690e+03 8.338335975609778643e+02 6.789291463414706413e+02 6.001735670731628716e+02 5.353608536585430784e+02 4.802255705575034312e+02 4.420732926829253984e+02 3.981777439024333489e+02 3.707301829268167239e+02 3.397219512195230209e+02 3.079769024389993319e+02 2.804750000000232149e+02 2.502947560975818817e+02 2.189826829268160964e+02
2.265820642857138864e+03 1.328528292682925894e+03 9.304440853658420565e+02 7.718172926829322478e+02 6.428873397212615828e+02 5.472617491289164491e+02 4.953183449477447198e+02 4.507834451219536049e+02 4.047106402439008548e+02 3.705982299651311678e+02 3.293431097561018532e+02 2.977775000000168575e+02 2.732833536585517322e+02 2.418454268292784946e+02 2.096992073170727053e+02 1.818851881533003052e+02
